category,file,frames_processed,frames_with_pose,detection_rate,error
deadlift,arc2_deadlift_21.mp4,195,195,100.0,
deadlift,arc2_deadlift_22.mp4,70,70,100.0,
deadlift,arc2_deadlift_23.mp4,72,72,100.0,
deadlift,arc2_deadlift_24.mp4,103,103,100.0,
deadlift,arc2_deadlift_26.mp4,180,178,98.89,
deadlift,arc2_deadlift_29.mp4,103,102,99.03,
deadlift,arc2_deadlift_3.mp4,150,149,99.33,
deadlift,arc2_deadlift_30.mp4,185,184,99.46,
deadlift,arc2_deadlift_31.mp4,144,132,91.67,
deadlift,arc2_deadlift_32.mp4,105,105,100.0,
deadlift,arc2_deadlift_4.mp4,150,149,99.33,
deadlift,arc2_deadlift_5.mp4,150,150,100.0,
deadlift,arc2_deadlift_6.mp4,150,149,99.33,
deadlift,arc2_deadlift_7.mp4,150,149,99.33,
deadlift,arc2_deadlift_8.mp4,150,150,100.0,
deadlift,arc2_deadlift_9.mp4,147,147,100.0,
decline_bench_press,arc2_dbp_10.mp4,324,321,99.07,
decline_bench_press,arc2_dbp_3.MOV,201,200,99.5,
decline_bench_press,arc2_dbp_4.MOV,694,686,98.85,
decline_bench_press,arc2_dbp_5.MOV,801,592,73.91,
decline_bench_press,arc2_dbp_6.MOV,758,757,99.87,
decline_bench_press,arc2_dbp_7.MOV,718,707,98.47,
decline_bench_press,arc2_dbp_8.mp4,68,62,91.18,
decline_bench_press,arc2_dbp_9.mp4,192,175,91.15,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_1.MOV,394,393,99.75,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_10.mp4,84,61,72.62,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_12.mp4,93,93,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_13.mp4,291,291,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_14.mp4,51,51,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_15.mp4,114,114,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_16.mp4,303,303,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_17.mp4,323,323,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_18.mp4,93,93,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_19.mp4,315,315,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_2.MOV,381,380,99.74,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_3.MOV,491,491,100.0,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_4.MOV,439,438,99.77,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_5.MOV,430,427,99.3,
hammer_curl,arc1_final_kaggle_with_additional_video_hammer_curl_6.MOV,366,366,100.0,
